Ticker,StartDate,EndDate,Company,Identity,Aliases,Source,ComponentHistoryLabels,EventDate,EventType,PriorTicker,PriorCompany,EventDetail
SCVL,2005-08-01,2025-12-31,"Shoe Carnival, Inc.",SCVL,Shoe Carnival,GLI historical roster and company-name audit,Shoe Carnival,,,,,
SGA,2007-01-19,2025-12-31,"Saga Communications, Inc.",SGA,Saga Communications,GLI historical roster and company-name audit,Saga Communications,,,,,
SHLD,2005-08-31,2018-10-23,Sears Holdings Corporation,SHLD,Sears Holdings Corp.,GLI historical roster and company-name audit,Sears Holdings Corp.,,,,,
SJM,2021-01-12,2025-12-31,The J. M. Smucker Company,SJM,,GLI historical roster and company-name audit,,,,,,
SJOE,2005-08-01,2007-01-31,St. Joseph Capital Corporation,SJOE,St. Joseph Capital Corp.,GLI historical roster and company-name audit,St. Joseph Capital Corp.,,,,,
SKY,2005-08-01,2018-06-01,Skyline Corporation,SKY,Skyline Corp.,historical corporate-name chronology,Skyline Corp.,,,,,
SKY,2018-06-04,2024-05-12,Skyline Champion Corporation,SKY,,historical corporate-name chronology,,,,,,
SKY,2024-05-13,2025-12-31,"Champion Homes, Inc.",SKY,,historical corporate-name chronology,,,,,,
SNA,2006-11-20,2025-12-31,Snap-on Incorporated,SNA,Snap-on,GLI historical roster and company-name audit,Snap-on,,,,,
SNI,2009-08-10,2013-08-01,"Scripps Networks Interactive, Inc.",SNI,Scripps Networks Interactive,GLI historical roster and company-name audit,Scripps Networks Interactive,,,,,
SNS,2007-01-19,2010-04-08,The Steak n Shake Company,SNS,Steak 'n Shake,GLI historical roster and company-name audit,Steak 'n Shake,,,,,
SPB,2021-01-12,2025-12-31,"Spectrum Brands Holdings, Inc.",SPB,,GLI historical roster and company-name audit,,,,,,
SPTN,2006-11-20,2013-11-18,"Spartan Stores, Inc.",SPTN,Spartan Stores,historical corporate-name chronology,Spartan Stores,,,,,
SPTN,2013-11-19,2025-09-19,SpartanNash Company,SPTN,,historical corporate-name chronology,,,,,,
SRCE,2005-08-01,2025-12-31,1st Source Corporation,SRCE,1st Source Corp.,GLI historical roster and company-name audit,1st Source Corp.,,,,,
SRCL,2005-10-10,2024-11-04,"Stericycle, Inc.",SRCL,Stericycle,GLI historical roster and company-name audit,Stericycle,,,,,
SSP,2007-07-31,2025-12-31,The E.W. Scripps Company,SSP,EW Scripps,GLI historical roster and company-name audit,EW Scripps,,,,,
SUI,2005-10-10,2025-12-31,"Sun Communities, Inc.",SUI,Sun Communities,GLI historical roster and company-name audit,Sun Communities,,,,,
SYK,2005-10-10,2006-07-14,Stryker Corporation,SYK,Stryker Corp.,GLI historical roster and company-name audit,Stryker Corp.,,,,,
SYK,2007-07-31,2025-12-31,Stryker Corporation,SYK,Stryker Corp.,GLI historical roster and company-name audit,Stryker Corp.,,,,,
SYNT,2005-10-10,2018-10-09,"Syntel, Inc.",SYNT,,GLI historical roster and company-name audit,"Syntel, Inc.",,,,,
TCF,2019-08-01,2021-01-11,TCF Financial Corporation,TCF,,GLI historical roster and company-name audit,,2019-08-01,NAME_AND_TICKER_CHANGE,CHFC,Chemical Financial Corporation,Verified same-security CHFC→TCF name/ticker continuity.
TDC,2010-01-27,2025-12-31,Teradata Corporation,TDC,Teradata Corp.,GLI historical roster and company-name audit,Teradata Corp.,,,,,
TDS,2016-11-08,2025-12-31,"Telephone and Data Systems, Inc.",TDS,,GLI historical roster and company-name audit,,,,,,
